GC Skew,GC Content
0.1,40
0.4,70
0.6,60
0.1,70
0.0,60
0.2,40
0.4,60
0.6,50
0.1,60
0.0,50
0.2,70
0.4,50
0.2,60
0.1,50
0.0,40
0.6,40
0.6,70
0.0,70
0.4,40
0.2,50
