name	gc_skew	gc_content	length	at_skew	at_content	cluster_length	cluster_nuc	clustering_method	role
term-1	0	0.5	200	0	NA	NA	NA	NA	Terminator_1
term-2	-0.2	0.4	200	0	NA	NA	NA	NA	Terminator_2
term-3	-0.4	0.3	200	0	NA	NA	NA	NA	Terminator_3
term-4	0	0.5	200	0.2	NA	2	G	find_available_random_range	Terminator_4
term-5	-0.2	0.4	200	0.2	NA	3	G	find_available_random_range	Terminator_5
term-6	-0.4	0.3	200	0.2	NA	4	G	find_available_random_range	Terminator_6
term-7	0	0.5	200	0.4	NA	2	G	find_available_random_range	Terminator_7
term-8	-0.2	0.4	200	0.4	NA	3	G	find_available_random_range	Terminator_8
term-9	-0.4	0.3	200	0.4	NA	4	G	find_available_random_range	Terminator_9
